,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Sarangani,0,PH,1554942659,95,5.4,125.46,82.62,12.44
375,Batagay-Alyta,64,RU,1554942660,81,67.8,130.41,16.92,3.83
376,Pucallpa,40,PE,1554940800,66,-8.38,-74.54,84.2,3.36
377,Noto,20,IT,1554942619,76,36.89,15.07,54.0,8.05
378,Pachino,64,IT,1554942619,83,36.72,15.09,45.0,8.01
379,Eureka,20,US,1554942476,71,40.8,-124.16,55.4,17.22
380,La Rioja,20,AR,1554942671,68,-29.41,-66.86,67.95,4.94
381,Kabare,88,RW,1554942672,100,-1.65,29.38,58.95,2.26
382,Kishi,20,NG,1554942674,63,9.08,3.85,80.55,9.64
383,Centralia,1,US,1554942625,34,39.21,-92.14,82.4,18.34
384,Sabla,0,NG,1554942677,57,12.75,4.71,76.5,3.15
385,Mount Pleasant,1,US,1554942670,37,33.16,-94.97,84.99,14.99
386,Illela,0,NG,1554942681,57,12.39,4.75,76.5,3.15
387,Constitucion,5,MX,1554942615,7,23.99,-104.67,80.6,20.8
388,Gizo,0,IL,1554942656,82,31.8,34.94,55.4,4.7
389,Dengzhou,36,CN,1554942686,99,32.69,112.08,48.15,4.5
390,Madera,1,US,1554942685,25,36.96,-120.06,73.4,13.87
391,Aranos,12,NA,1554942689,81,-24.14,19.11,60.93,8.63
392,Tomatlan,0,MX,1554942691,55,19.93,-105.25,80.55,4.16
393,Port Hedland,40,AU,1554940800,70,-20.31,118.58,86.0,6.93
394,Kishorganj,0,BD,1554942694,95,24.43,90.77,65.07,5.84
395,Santa Cruz,1,US,1554942459,49,36.97,-122.03,72.0,12.75
396,Vilcun,0,CL,1554942687,93,-38.65,-72.23,53.01,4.7
397,Beberibe,40,BR,1554940800,83,-4.18,-38.13,82.4,5.82
398,Beringovskiy,68,RU,1554942703,100,63.05,179.32,21.33,14.0
399,Rawlins,90,US,1554942643,73,41.79,-107.24,28.4,16.11
400,Weyburn,44,CA,1554942513,69,49.67,-103.85,28.99,15.01
401,Mount Gambier,90,AU,1554940800,54,-37.83,140.78,57.2,5.82
402,Bull Savanna,20,JM,1554942710,69,17.89,-77.59,76.05,4.16
403,Lagoa Santa,0,BR,1554940800,77,-19.64,-43.9,73.4,10.29
404,Poum,8,MK,1554942713,96,41.28,20.71,37.26,2.04
405,Zaysan,56,KZ,1554942714,67,47.47,84.87,36.27,5.06
406,Esmeralda,0,CL,1554937200,55,-34.33,-70.9,64.4,5.82
407,Fortuna,0,ES,1554942686,50,38.18,-1.13,57.99,12.75
408,Luanda,20,AO,1554940800,88,-8.83,13.24,78.8,6.93
409,Northam,0,GB,1554942674,93,51.04,-4.21,39.99,4.7
410,Yaring,20,TH,1554940800,94,6.87,101.37,78.8,3.27
411,Tiksi,44,RU,1554942725,81,71.64,128.87,12.87,3.83
412,Teavaro,75,PF,1554942143,58,-17.5,-149.77,87.8,9.17
413,Muisne,0,EC,1554937200,78,0.61,-80.02,82.4,5.82
414,Ifanadiana,24,MG,1554942730,95,-21.3,47.64,66.06,2.48
415,Belaya Gora,36,RU,1554942732,96,68.54,146.19,20.7,5.39
416,Bathsheba,75,BB,1554940800,69,13.22,-59.52,78.8,17.22
417,La Ronge,40,CA,1554940800,52,55.1,-105.3,41.0,12.75
418,Hellin,0,ES,1554942615,93,38.51,-1.7,46.0,3.36
419,Belle Fourche,90,US,1554942604,92,44.67,-103.85,23.0,7.52
420,Spirit River,75,CA,1554942737,36,55.78,-118.84,53.01,6.93
421,Leh,36,IN,1554942520,82,34.16,77.58,0.36,1.03
422,Cocorit,5,MX,1554939840,29,27.57,-109.96,78.8,11.41
423,Oistins,75,BB,1554940800,69,13.07,-59.53,78.8,17.22
424,Margate,75,AU,1554942621,50,-43.03,147.26,60.01,6.93
425,Conde,8,BR,1554942748,88,-11.81,-37.61,81.09,8.86
426,Shache,0,CN,1554942610,43,38.42,77.24,60.01,3.49
427,Sal Rei,40,CV,1554940800,73,16.18,-22.92,69.8,13.87
428,Hambantota,20,LK,1554941400,100,6.12,81.12,77.0,2.24
429,Molochnoye,20,UA,1554942754,89,44.91,34.04,41.94,2.59
430,Mareeba,40,AU,1554942725,61,-16.99,145.42,82.4,14.99
431,Jacareacanga,44,BR,1554942757,89,-6.22,-57.76,77.49,1.92
432,Port Hope,1,CA,1554942693,44,43.95,-78.29,39.99,8.05
433,Pio XII,44,BR,1554942762,84,-3.89,-45.17,79.74,4.5
434,Weligama,20,LK,1554942748,100,5.97,80.42,79.2,4.94
435,Wajid,0,SO,1554942765,68,3.81,43.25,77.13,10.42
436,Waingapu,32,ID,1554942766,91,-9.65,120.26,76.86,3.94
437,Cravo Norte,64,CO,1554942768,68,6.3,-70.2,84.15,6.85
438,Sept-Iles,75,CA,1554940800,44,50.2,-66.38,39.2,13.87
439,Oussouye,0,SN,1554940800,69,12.49,-16.54,82.4,9.17
440,Tulle,90,FR,1554942614,81,45.27,1.77,46.0,5.82
441,Sakata,75,JP,1554940800,87,38.92,139.93,42.8,5.82
442,Navlya,20,RU,1554942775,82,52.83,34.5,46.62,10.31
443,Wittlich,1,DE,1554942733,69,49.98,6.89,43.0,10.29
444,Kamenka,32,RU,1554941575,55,53.19,44.05,52.0,11.1
445,Zhanaozen,0,KZ,1554942780,76,43.35,52.85,49.59,3.71
446,Nantucket,1,US,1554942761,60,41.28,-70.1,41.0,16.11
447,Back Mountain,1,US,1554942683,60,41.34,-76.0,46.99,9.17
448,Balfour,92,CA,1554942786,88,49.62,-116.96,34.29,1.81
449,Bowen,75,AU,1554942776,74,-20.01,148.25,80.01,17.22
450,Trinidad,32,UY,1554942789,65,-33.52,-56.9,65.52,4.16
451,Saint-Pierre,20,FR,1554942724,81,48.95,4.24,46.4,10.29
452,Campbell River,75,CA,1554941749,62,50.02,-125.24,51.8,1.7
453,Dezful,20,IR,1554942681,80,32.38,48.4,55.71,2.93
454,Guerrero Negro,0,MX,1554942796,23,27.97,-114.04,77.31,15.46
455,Diu,0,IN,1554942798,94,20.71,70.98,67.77,7.07
456,Paysandu,12,UY,1554942716,65,-32.32,-58.08,73.08,7.18
457,Guaiba,0,BR,1554942495,83,-30.11,-51.33,72.0,8.05
458,Beloha,92,MG,1554942802,93,-25.17,45.06,73.8,5.28
459,Moa,20,CU,1554942805,69,20.66,-74.95,72.63,4.27
460,Willowmore,0,ZA,1554942806,76,-33.3,23.49,48.96,1.36
461,Boca do Acre,0,BR,1554942808,87,-8.76,-67.39,77.4,2.04
462,Bitung,20,ID,1554940800,74,1.44,125.19,86.0,2.24
463,Sao Filipe,0,CV,1554942811,97,14.9,-24.5,71.37,18.25
464,Vila Velha,40,BR,1554942489,83,-3.71,-38.6,82.4,5.82
465,Vila Franca do Campo,75,PT,1554942775,93,37.72,-25.43,62.6,13.87
466,Masaya,40,NI,1554940800,52,11.98,-86.09,89.6,11.41
467,Boone,1,US,1554942612,34,36.22,-81.67,69.8,2.59
468,Bela Palanka,0,RS,1554940800,81,43.22,22.31,51.8,2.24
469,Camargo,0,MX,1554942821,7,27.69,-105.17,85.95,23.4
470,Pokhara,32,NP,1554942822,74,28.21,83.99,47.07,1.81
471,Samarai,92,PG,1554942824,100,-10.62,150.67,82.71,7.4
472,Kawalu,20,ID,1554942826,96,-7.38,108.21,68.22,2.15
473,Dudinka,68,RU,1554942726,86,69.41,86.18,8.64,9.75
474,San Pedro,56,AR,1554942395,93,-33.68,-59.66,61.0,4.0
475,Nanakuli,75,US,1554942597,83,21.39,-158.15,84.2,13.87
476,Huty,44,UA,1554942835,82,50.13,35.35,52.38,8.41
477,Tazovskiy,48,RU,1554942638,74,67.47,78.7,3.15,9.53
478,Port Blair,0,IN,1554942838,100,11.67,92.75,84.42,4.16
479,Kuching,75,MY,1554940800,94,1.56,110.34,78.8,2.24
480,Puerto Escondido,5,MX,1554939900,70,15.86,-97.07,84.2,13.11
481,Sechura,0,PE,1554942844,70,-5.56,-80.82,76.32,11.88
482,Mitsamiouli,8,KM,1554942846,99,-11.38,43.28,82.35,2.48
483,Mount Isa,0,AU,1554940800,32,-20.73,139.49,80.6,9.17
484,Celina,75,US,1554942831,70,40.55,-84.57,46.99,13.87
485,Taywarah,92,AF,1554942851,97,33.35,64.42,41.67,0.69
486,Poletayevo,0,RU,1554942605,49,55.04,61.11,46.4,11.18
487,Namibe,0,AO,1554942854,100,-15.19,12.15,74.79,12.21
488,Junction City,1,US,1554942809,37,39.03,-96.83,84.2,16.11
489,Tamandare,68,BR,1554942858,73,-8.28,-70.75,81.0,5.17
490,Marzuq,0,YE,1554942859,88,14.4,46.47,53.73,2.71
491,Kabwe,44,ZM,1554942861,64,-14.44,28.44,70.38,11.99
492,Tyrma,76,RU,1554942863,42,50.04,132.17,40.05,3.49
493,Kushima,75,JP,1554942745,54,31.5,131.29,57.2,9.17
494,Mezen,92,RU,1554942866,78,65.85,44.24,25.02,7.63
495,Nemuro,40,JP,1554940800,99,43.32,145.57,42.8,3.36
496,Bure,32,NG,1554942869,55,10.52,10.33,76.95,6.62
497,San Agustin,36,VE,1554942871,61,10.2,-63.54,77.49,1.92
498,Broome,0,GB,1554942872,69,52.47,1.45,43.0,8.05
499,Tiarei,75,PF,1554942743,58,-17.53,-149.33,87.8,9.17
500,Barao de Melgaco,48,BR,1554942876,87,-16.19,-55.97,78.21,3.15
501,Joensuu,90,FI,1554942726,79,62.6,29.76,26.01,9.17
502,Qasigiannguit,20,GL,1554940200,79,68.82,-51.19,26.6,3.36
503,Makakilo City,75,US,1554942879,83,21.35,-158.09,84.2,13.87
504,Svetlaya,12,RU,1554942885,79,46.54,138.33,38.88,4.27
505,Tabuk,24,PH,1554942886,90,17.41,121.44,73.35,1.92
506,Manzanillo,80,CU,1554942888,97,20.34,-77.12,82.17,11.77
507,Uglovskoye,0,RU,1554942890,59,51.36,80.19,33.75,8.19
508,Martapura,20,ID,1554940800,94,-3.41,114.85,80.6,4.7
509,Thio,20,NC,1554940800,61,-21.61,166.22,82.4,9.17
510,Kangaatsiaq,0,GL,1554942895,93,68.31,-53.46,23.85,9.75
511,Dimapur,0,IN,1554942624,86,25.91,93.73,58.59,2.26
512,Belmonte,0,PT,1554942820,89,40.36,-7.35,46.99,6.62
513,Kalianget,24,ID,1554942900,100,-7.74,113.68,76.77,4.38
514,Suihua,0,CN,1554942901,77,46.64,126.99,41.49,4.61
515,Hami,88,CN,1554942903,50,42.84,93.51,45.0,2.71
516,Chapais,90,CA,1554941460,79,49.78,-74.86,24.8,12.75
517,Tual,76,ID,1554942906,100,-5.67,132.75,80.82,9.53
518,Belyy Yar,0,RU,1554940800,53,53.6,91.39,26.6,2.24
519,Sola,0,NO,1554942905,74,58.89,5.65,39.0,3.36
520,Noumea,20,NC,1554940800,61,-22.28,166.46,82.4,9.17
521,Sajanan,48,TN,1554940800,87,37.06,9.24,55.4,4.7
522,Zhigalovo,32,RU,1554942915,71,54.81,105.15,30.96,7.29
523,Ocampo,56,PH,1554942917,91,13.56,123.37,80.73,5.39
524,Padang,40,ID,1554940800,94,-0.92,100.36,75.2,2.24
525,Mackay,75,CA,1554940800,34,53.65,-115.58,50.0,4.7
526,Salinas,1,US,1554942751,52,36.67,-121.66,71.01,12.75
